Nome,Ruolo,Squadra,Prezzo,FVM,Pt_giornata,Valore_stagionale,Valore_per_credito
Buongiorno,D,Napoli,7,15,5.8,197.2,28.171
Idzes,D,Sassuolo,7,19,6.01,204.3,29.186
Coco,D,Torino,7,14,4.84,164.6,23.514
Ismajli,D,Torino,7,13,5.75,195.5,27.929
Kristensen T.,D,Atalanta,7,20,5.7,193.8,27.686
Badiashile,D,Napoli,7,21,7.14,242.8,34.686
Sutalo J.,D,Lazio,7,19,8.01,272.3,38.9
Ahanor,D,Atalanta,6,14,6.16,209.4,34.9
Bellanova,D,Atalanta,6,17,6.47,220.0,36.667
Bernasconi,D,Atalanta,6,18,4.76,161.8,26.967
Heggem,D,Bologna,6,15,6.11,207.7,34.617
Zortea,D,Bologna,6,19,5.11,173.7,28.95
Valle,D,Como,6,21,5.65,192.1,32.017
Valdepenas,D,Fiorentina,6,18,4.75,161.5,26.917
Viery,D,Fiorentina,6,17,4.67,158.8,26.467
Monterisi,D,Frosinone,6,13,7.65,260.1,43.35
Marcandalli,D,Genoa,6,14,4.4,149.6,24.933
Pavard,D,Inter,6,14,7.32,248.9,41.483
Tavares N.,D,Lazio,6,12,6.48,220.3,36.717
Marusic,D,Lazio,6,20,5.32,180.9,30.15
Gaspar K.,D,Lecce,6,12,7.42,252.3,42.05
Veiga D.,D,Lecce,6,12,5.83,198.2,33.033
Gallo,D,Lecce,6,13,4.16,141.4,23.567
Mangas,D,Monza,6,15,6.91,234.9,39.15
Beukema,D,Napoli,6,12,7.42,252.3,42.05
Comuzzo,D,Torino,6,13,7.0,238.0,39.667
Bella-Kotchap,D,Venezia,6,13,6.36,216.2,36.033
Obrador,D,Sassuolo,6,15,5.59,190.1,31.683
Kolasinac,D,Atalanta,5,8,5.92,201.3,40.26
Vitik,D,Bologna,5,10,6.63,225.4,45.08
Holm,D,Bologna,5,13,5.91,200.9,40.18
Kofler,D,Cagliari,5,8,6.47,220.0,44.0
Zè Pedro,D,Cagliari,5,13,6.08,206.7,41.34
Kempf,D,Como,5,13,5.9,200.6,40.12
Parisi,D,Fiorentina,5,10,6.15,209.1,41.82
Bracaglia,D,Frosinone,5,12,6.78,230.5,46.1
Oyono A.,D,Frosinone,5,10,5.52,187.7,37.54
Martin,D,Genoa,5,8,6.59,224.1,44.82
Kelly L.,D,Juventus,5,12,6.7,227.8,45.56
Pedraza,D,Lazio,5,15,6.08,206.7,41.34
Siebert,D,Lecce,5,12,6.06,206.0,41.2
Olivera,D,Napoli,5,13,6.22,211.5,42.3
Rensch,D,Roma,5,14,4.32,146.9,29.38
Pedersen,D,Torino,5,12,4.65,158.1,31.62
Moreno M.,D,Venezia,5,6,7.45,253.3,50.66
Correia T.,D,Venezia,5,12,4.64,157.8,31.56
Haps,D,Venezia,5,10,5.62,191.1,38.22
Fortini,D,Torino,5,12,5.83,198.2,39.64
Leysen F.,D,Sassuolo,5,12,7.2,244.8,48.96
Rodriguez Ju.,D,Cagliari,4,14,4.32,146.9,36.725
Zappa,D,Cagliari,4,7,6.6,224.4,56.1
Smolcic I.,D,Como,4,10,3.91,132.9,33.225
Pongracic,D,Fiorentina,4,8,6.57,223.4,55.85
Calvani,D,Frosinone,4,12,6.49,220.7,55.175
Mitaj,D,Genoa,4,10,7.22,245.5,61.375
Gatti,D,Juventus,4,10,6.41,217.9,54.475
De Winter,D,Milan,4,12,4.74,161.2,40.3
Estupinan,D,Milan,4,13,4.32,146.9,36.725
Delli Carri,D,Monza,4,11,5.77,196.2,49.05
Lucchesi,D,Monza,4,12,6.55,222.7,55.675
Birindelli,D,Monza,4,12,7.76,263.8,65.95
Troilo,D,Parma,4,14,5.74,195.2,48.8
Valenti,D,Parma,4,10,6.13,208.4,52.1
Ghilardi,D,Roma,4,10,6.68,227.1,56.775
Walukiewicz,D,Sassuolo,4,10,7.34,249.6,62.4
Doig,D,Sassuolo,4,10,5.25,178.5,44.625
Comert,D,Torino,4,12,4.99,169.7,42.425
Kabasele,D,Udinese,4,12,6.95,236.3,59.075
Bertola,D,Udinese,4,10,6.16,209.4,52.35
Zanoli,D,Udinese,4,10,6.53,222.0,55.5
Arizala,D,Udinese,4,8,7.06,240.0,60.0
Halhal,D,Venezia,4,10,5.12,174.1,43.525
Terzic,D,Frosinone,4,8,6.11,207.7,51.925
Favasuli,D,Napoli,4,11,6.91,234.9,58.725
Kossounou,D,Atalanta,3,12,6.74,229.2,76.4
Casale,D,Bologna,3,5,8.41,285.9,95.3
Helland,D,Bologna,3,12,4.65,158.1,52.7
Idrissi R.,D,Cagliari,3,3,5.95,202.3,67.433
Ranieri L.,D,Fiorentina,3,10,6.48,220.3,73.433
Joao Mario,D,Fiorentina,3,12,5.84,198.6,66.2
Akpoguma,D,Frosinone,3,6,5.28,179.5,59.833
Cittadini,D,Frosinone,3,8,5.16,175.4,58.467
Provstgaard,D,Lazio,3,14,6.7,227.8,75.933
Floriani Mussolini,D,Lazio,3,10,6.96,236.6,78.867
Kouadio,D,Monza,3,9,7.29,247.9,82.633
Carboni A.,D,Monza,3,9,5.95,202.3,67.433
Britschgi,D,Parma,3,10,6.71,228.1,76.033
Candè,D,Sassuolo,3,7,7.75,263.5,87.833
Palma,D,Udinese,3,11,5.69,193.5,64.5
Ebosse,D,Udinese,3,5,5.44,185.0,61.667
Schingtienne,D,Venezia,3,10,5.74,195.2,65.067
Sverko,D,Venezia,3,7,7.61,258.7,86.233
Hainaut,D,Venezia,3,12,7.34,249.6,83.2
Odenthal,D,Sassuolo,3,8,4.53,154.0,51.333
Alhassane,D,Bologna,2,6,7.14,242.8,121.4
Van Der Brempt,D,Como,2,5,6.23,211.8,105.9
Otoa,D,Genoa,2,5,7.34,249.6,124.8
Puczka,D,Genoa,2,3,8.0,272.0,136.0
Sabelli,D,Genoa,2,5,5.26,178.8,89.4
Lazzari,D,Lazio,2,5,6.26,212.8,106.4
Pellegrini Lu.,D,Lazio,2,7,9.03,307.0,153.5
Jean,D,Lecce,2,4,5.28,179.5,89.75
Ndaba,D,Lecce,2,5,8.27,281.2,140.6
Diawara S.,D,Milan,2,4,4.89,166.3,83.15
Bakoune,D,Monza,2,4,6.87,233.6,116.8
Marin R.,D,Napoli,2,8,7.06,240.0,120.0
Ndiaye,D,Parma,2,8,4.78,162.5,81.25
Biraghi,D,Torino,2,5,4.91,166.9,83.45
Abankwah,D,Udinese,2,10,4.91,166.9,83.45
Franjic,D,Venezia,2,7,6.36,216.2,108.1
Sagrado,D,Venezia,2,4,4.64,157.8,78.9
Aurelio,D,Cagliari,2,5,6.16,209.4,104.7
Cinquegrano,D,Sassuolo,2,4,8.48,288.3,144.15
Terracciano F.,D,Milan,2,4,7.31,248.5,124.25
De Silvestri,D,Bologna,1,4,7.36,250.2,250.2
Goldaniga,D,Como,1,1,5.84,198.6,198.6
Amey,D,Frosinone,1,1,7.34,249.6,249.6
Oyono J.,D,Frosinone,1,2,7.97,271.0,271.0
Corrado,D,Frosinone,1,1,5.76,195.8,195.8
Matturro,D,Genoa,1,2,5.98,203.3,203.3
Rugani,D,Juventus,1,3,7.54,256.4,256.4
Cabal,D,Juventus,1,4,6.55,222.7,222.7
Patric,D,Lazio,1,1,7.83,266.2,266.2
Antov,D,Monza,1,2,6.43,218.6,218.6
Marianucci,D,Napoli,1,3,8.4,285.6,285.6
Mazzocchi,D,Napoli,1,3,6.27,213.2,213.2
Carboni F.,D,Parma,1,3,6.45,219.3,219.3
Ziolkowski,D,Roma,1,2,8.74,297.2,297.2
Missori,D,Sassuolo,1,2,5.51,187.3,187.3
Pieragnolo,D,Sassuolo,1,1,4.42,150.3,150.3
Mlacic,D,Udinese,1,3,5.02,170.7,170.7
Gomes,D,Venezia,1,1,5.26,178.8,178.8
Omar Fayed,D,Frosinone,1,1,4.73,160.8,160.8
Paz N.,C,Como,29,247,5.1,173.4,5.979
Calhanoglu,C,Inter,28,236,4.01,136.3,4.868
McTominay,C,Napoli,28,228,3.86,131.2,4.686
Orsolini,C,Bologna,25,192,5.97,203.0,8.12
Pulisic,C,Milan,24,160,6.15,209.1,8.713
Rabiot,C,Milan,23,145,3.85,130.9,5.691
Baturina,C,Como,19,97,5.14,174.8,9.2
